"FileName","FilePath","Version"
"System.Drawing.Common.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Drawing.Common.dll","6.0.21.52210"
"System.IdentityModel.Tokens.Jwt.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.IdentityModel.Tokens.Jwt.dll","6.24.0.31013"
"System.Memory.Data.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Memory.Data.dll","1.0.221.20802"
"System.Runtime.Caching.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Runtime.Caching.dll","6.0.21.52210"
"System.Security.Cryptography.ProtectedData.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Security.Cryptography.ProtectedData.dll","6.0.21.52210"
"System.Security.Permissions.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Security.Permissions.dll","6.0.21.52210"
"System.Windows.Extensions.dll","D:\inetpub\BrokerCommissionsPaymentTool\System.Windows.Extensions.dll","6.0.21.52210"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\cs\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\cs\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\cs\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\cs\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\de\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\de\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\de\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\de\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\es\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\es\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\es\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\es\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\fr\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\fr\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\fr\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\fr\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\it\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\it\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\it\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\it\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ja\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ja\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ja\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ja\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ko\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ko\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ko\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ko\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pl\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pl\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pl\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pl\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pt-BR\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pt-BR\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pt-BR\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\pt-BR\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ru\Microsoft.CodeAnalysis.CSharp.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ru\Microsoft.CodeAnalysis.CSharp.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ru\Microsoft.CodeAnalysis.resources.dll","4.500.23.10905"
"Microsoft.CodeAnalysis.Workspaces.resources.dll","D:\inetpub\BrokerCommissionsPaymentTool\ru\Microsoft.CodeAnalysis.Workspaces.resources.dll","4.500.23.10905"
"Microsoft.Data.SqlClient.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\unix\lib\net6.0\Microsoft.Data.SqlClient.dll","5.14.24005.1"
"System.Drawing.Common.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\unix\lib\net6.0\System.Drawing.Common.dll","6.0.21.52210"
"System.Data.SqlClient.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\unix\lib\netcoreapp2.1\System.Data.SqlClient.dll","4.700.20.6702"
"Microsoft.Data.SqlClient.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\Microsoft.Data.SqlClient.dll","5.14.24005.1"
"Microsoft.Win32.SystemEvents.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\Microsoft.Win32.SystemEvents.dll","6.0.21.52210"
"System.Drawing.Common.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\System.Drawing.Common.dll","6.0.21.52210"
"System.Runtime.Caching.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\System.Runtime.Caching.dll","6.0.21.52210"
"System.Security.Cryptography.ProtectedData.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\System.Security.Cryptography.ProtectedData.dll","6.0.21.52210"
"System.Windows.Extensions.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\net6.0\System.Windows.Extensions.dll","6.0.21.52210"
"System.Data.SqlClient.dll","D:\inetpub\BrokerCommissionsPaymentTool\runtimes\win\lib\netcoreapp2.1\System.Data.SqlClient.dll","4.700.20.6702"
