#TYPE Selected.System.String
"SAM","DN","MemberOf","pwdAge","disabled","pWDneverExpires"
"McAteeM","CN=McAteeM,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","26","FALSE","FALSE"
"MChang.Advisor","CN=MChang Advisor,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","70","FALSE","FALSE"
"mdammers.advisor","CN=MDammers Advisor,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","80","FALSE","FALSE"
"MKnouse.Advisor","CN=MKnouse Advisor,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","89","FALSE","FALSE"
"monarch_svc","CN=monarch_svc,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","650","FALSE","TRUE"
"monterovalsa","CN=monterovalsa,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","26","FALSE","FALSE"
"MPanza.Advisor","CN=MPanza Advisor,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","11","FALSE","FALSE"
"munr","CN=munr,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","14","FALSE","FALSE"
"NakamaW","CN=NakamaW,OU=Technical_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","32","FALSE","FALSE"
"nas_svc","CN=nas_svc,OU=Users,OU=Service_Accounts,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","15","FALSE","TRUE"
"navarrod","CN=navarrod,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","4","FALSE","FALSE"
"NDipalma.Advisor","CN=NDipalma Advisor,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","11","FALSE","FALSE"
"oconnerm","CN=oconnerm,OU=Support_Services,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","66","FALSE","FALSE"
"svc_ofac_test01","CN=OFAC TEST USER ACCOUNT,OU=IT Test Accounts,OU=Users,OU=IT,OU=Las_Vegas,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","15","FALSE","TRUE"
"pamarthih","CN=pamarthih,OU=Database_Admin,OU=IT_Infrastructure,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","70","FALSE","FALSE"
"pardof","CN=pardof,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","88","FALSE","FALSE"
"pavone","CN=pavone,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","7","FALSE","FALSE"
"payned","CN=payned,OU=IT_Business_Intelligence,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","41","FALSE","FALSE"
"pernabj","CN=pernabj,OU=Task_Force,OU=IT_Systems_Development,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","27","FALSE","FALSE"
"PLavalletto.Advisor","CN=PLavalletto Advisor,OU=Quality_Assurance,OU=IT_Shared_Services,OU=IT_Advisors,DC=fnbm,DC=corp","CN=Administrators,CN=Builtin,DC=fnbm,DC=corp","68","FALSE","FALSE"
