"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"25.172.in-addr.arpa","36.40","PTR","vvtlvcwa06.vegas.com.","3600","0","[static]","2007062845","10/1/2012 1:59:06 PM","6/12/2017 2:53:56 PM","True","DC=36.40,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","70.100","PTR","corp-websec.vegas.com.","3600","0","[static]","2007062846","3/16/2012 1:27:41 PM","6/12/2017 2:53:56 PM","True","DC=70.100,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","34.12","PTR","vvdsqldb03.corp.vegas.com.","1200","3658413","5/8/2018 9:00:00 PM","2007063201","5/8/2018 2:05:21 PM","5/8/2018 2:05:39 PM","True","DC=34.12,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","180.20","PTR","vvqlvcwb01.vegas.com.","3600","0","[static]","2007062849","11/21/2012 8:15:32 AM","6/12/2017 2:53:56 PM","True","DC=180.20,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","37.21","PTR","vvqmngdb05.vegas.com.","3600","0","[static]","2007063168","10/31/2017 2:21:00 PM","10/31/2017 2:21:54 PM","True","DC=37.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","181.20","PTR","vvqlvcwb02.vegas.com.","3600","0","[static]","2007062850","11/21/2012 8:15:46 AM","6/12/2017 2:53:56 PM","True","DC=181.20,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","38.21","PTR","vvqmngdb06.vegas.com.","3600","0","[static]","2007063169","10/31/2017 2:22:02 PM","10/31/2017 2:22:17 PM","True","DC=38.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","174.21","PTR","vvqintap02.vegas.com.","3600","0","[static]","2007062851","11/21/2012 8:16:32 AM","6/12/2017 2:53:56 PM","True","DC=174.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","36.21","PTR","vvqmngdb04.vegas.com.","3600","0","[static]","2007063171","11/1/2017 7:37:14 AM","11/1/2017 7:37:29 AM","True","DC=36.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","180.21","PTR","vvqlvcap01.vegas.com.","3600","0","[static]","2007062852","11/21/2012 8:16:49 AM","6/12/2017 2:53:56 PM","True","DC=180.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","181.21","PTR","vvqlvcap02.vegas.com.","3600","0","[static]","2007062853","11/21/2012 8:17:06 AM","6/12/2017 2:53:56 PM","True","DC=181.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","173.21","PTR","vvsintap02.vegas.com.","3600","0","[static]","2007062854","11/21/2012 8:18:06 AM","6/12/2017 2:53:56 PM","True","DC=173.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","82.100","PTR","nonprod-rabbit.vegas.com.","3600","0","[static]","2007063182","1/9/2018 1:38:10 PM","1/9/2018 1:38:25 PM","True","DC=82.100,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","20.21","PTR","vvslvcap01.vegas.com.","3600","0","[static]","2007062855","11/21/2012 8:18:31 AM","6/12/2017 2:53:56 PM","True","DC=20.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
"25.172.in-addr.arpa","21.21","PTR","vvslvcap02.vegas.com.","3600","0","[static]","2007062856","11/21/2012 8:18:46 AM","6/12/2017 2:53:56 PM","True","DC=21.21,DC=25.172.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=corp,DC=vegas,DC=com"
