#TYPE Selected.Microsoft.SharePoint.Administration.SPFeatureDefinition
"Id","DisplayName","Scope","CompatibilityLevel"
"7ad5272a-2694-4349-953e-ea5ef290e97c","DocumentRouting","Web","14"
"7c637b23-06c4-472d-9a9a-7c175762c5c4","ViewFormPagesLockDown","Site","14"
"7d12c4c3-2321-42e8-8fb6-5295a849ed08","TaxonomyTenantAdmin","Web","14"
"7e0aabee-b92b-4368-8742-21ab16453d00","VisioProcessRepositoryFeatureStapling","Farm","14"
"7e0aabee-b92b-4368-8742-21ab16453d01","VisioProcessRepository","Web","14"
"7e0aabee-b92b-4368-8742-21ab16453d02","VisioProcessRepositoryUs","Web","14"
"80bf3218-7353-11df-af9f-058bdfd72085","NintexWorkflowInfoPath","Site","14"
"81ebc0d6-8fb2-4e3f-b2f8-062640037398","EnhancedHtmlEditing","Farm","14"
"82e2ea42-39e2-4b27-8631-ed54c1cfc491","TransMgmtFunc","Farm","14"
"8472208f-5a01-4683-8119-3cea50bea072","PPSSiteStapling","Farm","14"
"8581a8a7-cf16-4770-ac54-260265ddb0b2","PremiumSite","Site","14"
"863da2ac-3873-4930-8498-752886210911","MySiteBlog","Site","14"
"86c83d16-605d-41b4-bfdd-c75947899ac7","NintexWorkflowContentTypeUpgrade","Site","14"
"875d1044-c0cf-4244-8865-d2a0039c2a49","MossChart","Site","14"
"89e0306d-453b-4ec5-8d68-42067cdbf98e","Navigation","Site","14"
"8a4b8de2-6fd8-41e9-923c-c7c3c00f8295","OpenInClient","Site","14"
"8a663fe0-9d9c-45c7-8297-66365ad50427","MasterSiteDirectoryControl","Farm","14"
"8c6a6980-c3d9-440e-944c-77f93bc65a7e","WikiWelcome","Web","14"
"8c6f9096-388d-4eed-96ff-698b3ec46fc4","MaintenanceLogs","Web","14"
"8e947bf0-fe40-4dff-be3d-a8b88112ade6","WAWhatsPopularWebPart","Site","14"
"8f15b342-80b1-4508-8641-0751e2b55ca6","LocalSiteDirectoryMetaData","Web","14"
"8fb893d6-93ee-4763-a046-54f9e640368d","TaxonomyTenantAdminStapler","Farm","14"
"90c6c1e5-3719-4c52-9f36-34a97df596f7","ObaProfilePagesTenantStapling","Farm","14"
"915c240e-a6cc-49b8-8b2c-0bff8b553ed3","Ratings","Site","14"
"937f97e9-d7b4-473d-af17-b03951b2c66b","SkuUpgradeLinks","Farm","14"
"94c94ca6-b32f-4da9-a9e3-1f3d343d7ecb","PublishingWeb","Web","14"
"97a2485f-ef4b-401f-9167-fa4fe177c6f6","BaseSiteStapling","Farm","14"
"98311581-29c5-40e8-9347-bd5732f0cb3e","TenantAdminLinks","Web","14"
"99f380b4-e1aa-4db0-92a4-32b15e35b317","TenantAdminDeploymentLinks","Web","14"
"99fe402e-89a0-45aa-9163-85342e865dc8","BaseWeb","Web","14"
"9a447926-5937-44cb-857a-d3829301c73b","ContentTypeHub","Site","14"
"9ad4c2d4-443b-4a94-8534-49a23f20ba3c","HolidaysList","Web","14"
"9b0293a7-8942-46b0-8b78-49d29a9edd53","OrganizationsClaimHierarchyProvider","Farm","14"
"9bf7bf98-5660-498a-9399-bc656a61ed5d","NintexWorkflowWeb","Web","14"
"9c03e124-eef7-4dc6-b5eb-86ccd207cb87","GroupWork","Web","14"
"9c2ef9dc-f733-432e-be1c-2e79957ea27b","WhereaboutsList","Web","14"
"9e56487c-795a-4077-9425-54a1ecb84282","Hold","Web","14"
"9fec40ea-a949-407d-be09-6cba26470a0c","VisioWebAccess","Site","14"
"a0e5a010-1329-49d4-9e09-f280cdbed37d","IPFSWebFeatures","Web","14"
"a10b6aa4-135d-4598-88d1-8d4ff5691d13","ipfsAdminLinks","Farm","14"
"a140a1ac-e757-465d-94d4-2ca25ab2c662","DownloadFromOfficeDotCom","Farm","14"
"a1cb5b7f-e5e9-421b-915f-bf519b0760ef","PPSSiteCollectionMaster","Site","14"
"a311bf68-c990-4da3-89b3-88989a3d7721","SitesList","Web","14"
"a392da98-270b-4e85-9769-04c0fde267aa","PublishingPrerequisites","Site","14"
"a42f749f-8633-48b7-9b22-403b40190409","SignaturesWorkflowSPD1033","Site","14"
"a44d2aa3-affc-4d58-8db4-f4a3af053188","ReviewPublishingSPD","Site","14"
"a4d4ee2c-a6cb-4191-ab0a-21bb5bde92fb","AccSrvRestrictedList","Web","14"
"a568770a-50ba-4052-ab48-37d8029b3f47","CirculationList","Web","14"
"a573867a-37ca-49dc-86b0-7d033a7ed2c8","PremiumSiteStapling","Farm","14"
"a942a218-fa43-4d11-9d85-c01e3e3a37cb","EnterpriseWikiLayouts","Site","14"
"aa61ef91-ee2b-42d5-9911-7c6557ad90c2","NintexWorkflowEnterpriseAdmin","Web","14"
"ac8addc7-7252-4136-8dcb-9887a277ae2c","NintexFormsWorkflowSite",,"14"
