"ComputerName","AppName","AppVersion","AppVendor","InstalledDate","UninstallKey","AppGUID","Arch"
"LASINFRA05","SolarWinds MIBs v1.0.40","1.0.40.0","SolarWinds, Inc.","20170624","MsiExec.exe /X{B2D8B3EA-F8BB-4F5B-B976-9D0487AD39BD}","{B2D8B3EA-F8BB-4F5B-B976-9D0487AD39BD}","32"
"LASINFRA05","SolarWinds Server & Application Monitor v6.4","6.4.1020.0","SolarWinds, Inc.","20170624","MsiExec.exe /I{BAE39289-1755-4C21-BA94-9C1C0EF9B820}","{BAE39289-1755-4C21-BA94-9C1C0EF9B820}","32"
"LASINFRA05","Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20170807","MsiExec.exe /X{BBF2AC74-720C-3CB3-8291-5E34039232FA}","{BBF2AC74-720C-3CB3-8291-5E34039232FA}","32"
"LASINFRA05","Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20160220","MsiExec.exe /X{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}","{BD95A8CD-1D9F-35AD-981A-3E7925026EBB}","32"
"LASINFRA05","Microsoft SQL Server System CLR Types","10.51.2500.0","Microsoft Corporation","20151007","MsiExec.exe /I{C3F6F200-6D7B-4879-B9EE-700C0CE1FCDA}","{C3F6F200-6D7B-4879-B9EE-700C0CE1FCDA}","32"
"LASINFRA05","Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}\vcredist_x64.exe""  /uninstall","{ca67548a-5ebe-413a-b50c-4b9ceb6d66c6}","32"
"LASINFRA05","SolarWinds IP Address Manager v4.3.1","4.3.1","SolarWinds","20160220","MsiExec.exe /X{CEB7D2E1-F53C-487E-832A-AC3B64EDE3FB}","{CEB7D2E1-F53C-487E-832A-AC3B64EDE3FB}","32"
"LASINFRA05","Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","Microsoft Corporation","20151007","MsiExec.exe /I{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}","{CFEF48A8-BFB8-3EAC-8BA5-DE4F8AA267CE}","32"
"LASINFRA05","Microsoft Visual Studio 2010 Shell (Isolated) - ENU","10.0.40219","Microsoft Corporation","20151024","MsiExec.exe /X{D64B6984-242F-32BC-B008-752806E5FC44}","{D64B6984-242F-32BC-B008-752806E5FC44}","32"
"LASINFRA05","Microsoft SQL Server 2012 Management Objects ","11.0.2100.60","Microsoft Corporation","20140123","MsiExec.exe /I{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}","{DA1C1761-5F4F-4332-AB9D-29EDF3F8EA0A}","32"
