"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-Exch-Filter-Local-Addresses","7/11/2011 2:54:31 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Filter-Local-Addresses,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Controlling-Zone","7/11/2011 2:54:22 PM","5/19/2021 4:18:35 PM","CN=ms-Exch-Controlling-Zone,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Tls-Certificate-Name","6/30/2014 11:23:33 AM","5/19/2021 4:18:36 PM","CN=ms-Exch-Smtp-Receive-Tls-Certificate-Name,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Event-Log-Level","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Event-Log-Level,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Proxy-Name","7/11/2011 2:54:44 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Proxy-Name,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Client-Flags","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Client-Flags,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Convert-To-Fixed-Font","7/11/2011 2:54:22 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Convert-To-Fixed-Font,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-First-Instance","7/11/2011 2:54:31 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-First-Instance,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Tls-Domain-Capabilities","6/30/2014 11:27:30 AM","5/19/2021 4:18:36 PM","CN=ms-Exch-Smtp-Receive-Tls-Domain-Capabilities,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Pseudo-PF","7/11/2011 2:55:53 PM","5/19/2021 4:18:35 PM","CN=ms-Exch-Pseudo-PF,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Identity-Name","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Identity-Name,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Copy-EDB-File","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Copy-EDB-File,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Debug-Logging","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Debug-Logging,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-First-Sync-Time","6/30/2014 11:25:04 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-First-Sync-Time,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Pseudo-PF-Admin","7/11/2011 2:55:53 PM","5/19/2021 4:18:35 PM","CN=ms-Exch-Pseudo-PF-Admin,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Type","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Type,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Correlation-Attribute","7/11/2011 2:53:45 PM","5/19/2021 4:18:33 PM","CN=ms-Exch-Correlation-Attribute,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Max-Aggregate-Peak-Rate-Per-User","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Max-Aggregate-Peak-Rate-Per-User,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
