"Domain","AccountName","AccountGroup","ActiveDirectoryRights","ObjectRights","ObjectDN","ObjectOwner","ObjectClassCategory"
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins38,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins39,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins40,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins41,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins42,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins43,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins44,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins45,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins46,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins47,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins51,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins52,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins53,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins54,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins55,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins56,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins57,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins58,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins59,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins61,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins63,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins65,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins67,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins69,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins70,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins71,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins72,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins73,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins74,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins75,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins76,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins77,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins78,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins79,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins81,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins82,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins83,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins84,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins85,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins86,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins87,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins88,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins90,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins91,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins93,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins94,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins95,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins96,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins97,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
"fnbm.corp","FNBMCORP\pretar","FNBMCORP\pretar","ObjectOwner","ObjectOwner","CN=DomainAdmins99,CN=Computers,DC=fnbm,DC=corp","FNBMCORP\pretar",""
