"pwdlastset","enabled","samaccountname"
"12/31/1600 4:00:00 PM","True","SecurityTemp"
"10/1/2013 10:45:39 AM","True","WebEx.Exec01"
"10/1/2013 10:47:12 AM","True","WebEx.Exec02"
"10/2/2013 3:15:38 PM","False","mssqldbuser"
"8/29/2017 1:39:23 PM","False","SLee"
"6/19/2017 7:29:13 AM","False","KCerio"
"4/29/2016 4:39:46 PM","False","MSoles"
"6/7/2016 9:51:39 AM","False","LDomino"
"11/5/2013 12:30:11 PM","True","VenNVenuti"
"11/14/2013 10:19:47 AM","True","svc_FAC"
"11/14/2016 9:21:33 AM","False","RMeine"
"6/30/2014 10:51:38 AM","False","IDF_Admin"
"6/23/2017 12:16:30 PM","False","mhowerton"
"12/20/2013 3:15:43 PM","True","Presidential"
"10/9/2017 8:41:48 AM","False","Rguthrie"
"3/28/2017 10:07:06 AM","False","Epena"
"4/3/2017 8:26:56 AM","False","Tmiles"
"7/11/2017 1:04:57 PM","False","HMcCusker"
"3/23/2016 9:53:39 AM","False","rjensen"
"10/3/2016 8:07:02 AM","False","TCarstensen"
"1/17/2014 4:20:02 PM","True","cmdcenter"
"10/20/2016 1:04:23 PM","False","cmortimer"
"11/7/2014 10:51:22 AM","False","SVC_SS-Test"
"12/31/1600 4:00:00 PM","True","sfabert"
"12/31/1600 4:00:00 PM","True","VRM"
"12/31/1600 4:00:00 PM","True","ExecutiveAdmin"
"11/5/2014 7:41:34 AM","True","SVC_SSTEST01"
"3/31/2014 3:17:56 PM","False","svc_SASSQLdb"
"3/31/2014 3:19:06 PM","False","svc_SASORAdb"
"5/22/2014 2:59:50 PM","False","ITLibrary"
"6/4/2014 12:55:40 PM","True","oftest1"
"6/4/2014 1:01:41 PM","True","oftest2"
"6/4/2014 1:04:33 PM","True","oftestmgr1"
"6/7/2016 9:07:56 AM","False","Nmoore"
"6/13/2014 9:24:16 AM","True","svc_mee"
"2/21/2017 5:57:49 AM","False","MBaruffi"
"7/16/2014 8:28:10 AM","True","test121"
"12/31/1600 4:00:00 PM","False","dtemplate"
"3/21/2016 10:34:05 AM","False","VPalanichamy"
"6/6/2016 9:16:08 AM","False","MNatesan"
"3/14/2016 6:21:20 AM","False","JStephen"
"8/5/2014 10:25:45 AM","True","BIProcess"
"12/31/1600 4:00:00 PM","True","CSVendorSupport"
"5/9/2016 8:20:22 AM","False","Rmcgill"
"7/25/2016 6:48:08 AM","False","mmouawia"
"7/8/2016 5:56:30 AM","False","Jswinton"
"3/11/2016 11:30:04 PM","False","Mmonroe"
"3/14/2017 9:32:44 AM","False","jreber"
"8/9/2017 10:26:46 AM","False","rnazareno"
"3/16/2016 12:29:51 PM","False","TFTemplate"
"9/25/2014 5:35:42 AM","True","WORequests"
"12/31/1600 4:00:00 PM","False","CSboFraud"
"12/31/1600 4:00:00 PM","False","CSBofficeCorr"
"12/31/1600 4:00:00 PM","False","CSBOSup"
"12/31/1600 4:00:00 PM","False","Collrep"
"12/31/1600 4:00:00 PM","False","CompliancePL"
"12/31/1600 4:00:00 PM","False","ProcessAcct"
"12/31/1600 4:00:00 PM","False","MarketAnalysyt"
"12/31/1600 4:00:00 PM","False","QualityRep"
"12/31/1600 4:00:00 PM","False","CollSup"
"12/31/1600 4:00:00 PM","True","digitalmarketing"
"12/31/1600 4:00:00 PM","True","compliance"
"10/24/2014 9:29:25 AM","True","JRuminski"
"10/24/2014 12:29:19 PM","True","SMartin"
"11/14/2014 7:42:31 AM","True","SVC_SSTEST02"
"11/13/2014 9:02:21 AM","True","SVC_ERPMTEST"
"11/14/2014 9:07:33 AM","True","SVC_LASSQLTST01_TEST"
"12/5/2016 5:39:44 AM","False","dschwartzmiller"
"11/25/2016 7:14:11 AM","False","VRaja"
"6/2/2016 9:22:18 AM","False","SRevathy"
"12/31/1600 4:00:00 PM","False","wtemplate"
"7/6/2016 2:50:51 PM","False","LEmeses"
"1/26/2015 5:22:39 PM","True","svc_C1B-Apps-Prod"
"1/26/2015 5:22:56 PM","True","svc_C1B-Apps-Test"
"1/26/2015 5:23:45 PM","True","svc_C1B-Web-Prod"
"1/26/2015 5:24:02 PM","True","svc_C1B-Web-Test"
"1/26/2015 5:23:12 PM","True","svc_C1B-Infra-Prod"
"1/26/2015 5:23:25 PM","True","svc_C1B-Infra-Test"
"8/29/2016 8:50:13 AM","False","JTrinidad"
"2/3/2016 7:47:07 AM","False","Hnorton"
"8/8/2016 7:47:46 AM","False","MSolomon"
"10/24/2016 8:10:27 AM","False","RKniep"
"9/4/2015 9:04:29 AM","True","dgrady"
"12/5/2016 3:41:00 PM","False","MRudrow"
"6/21/2016 6:25:21 AM","False","achu"
"7/6/2017 7:29:10 AM","False","esoderberg"
"5/22/2017 9:18:14 AM","False","Pbanks"
"12/31/1600 4:00:00 PM","True","CSDailyReports"
"11/23/2015 8:45:18 PM","True","ConfRm446"
"11/20/2015 2:17:56 PM","True","Room450"
"11/20/2015 1:34:37 PM","True","Room416"
"11/23/2015 8:54:25 PM","True","Room477"
"2/24/2017 6:31:37 AM","False","lperez"
"1/2/2017 9:32:19 AM","False","MAColeman"
"4/29/2015 4:06:27 PM","True","sguvvala.Advisor"
"12/31/1600 4:00:00 PM","True","ryadav.Advisor"
"5/15/2015 9:13:43 AM","True","P360test1"
"5/4/2015 6:14:44 PM","True","P360test2"
"5/5/2015 11:42:13 AM","True","exclusions"
"5/5/2015 4:08:55 PM","True","Backoffice.Quality"
"5/5/2015 4:09:49 PM","True","Vendor.Management"
"7/19/2016 1:17:13 PM","False","JBaffone"
"5/21/2015 11:14:50 AM","True","Collections.Command"
"11/23/2015 8:36:52 PM","True","ConfRm441"
"7/18/2017 6:14:37 AM","False","Bknight"
"1/18/2016 11:26:17 AM","True","svc_secsvr"
"6/1/2016 8:07:13 AM","False","RSanders"
"8/24/2017 5:02:32 AM","False","jortega"
"9/12/2016 9:40:20 AM","False","sowens"
"6/22/2016 10:25:36 AM","False","DVarnado"
"7/9/2015 2:29:55 PM","False","Nnoc.Templateadvisor"
"7/9/2015 2:34:19 PM","False","Nnetwork.Tempadvisor"
"4/10/2017 7:07:06 AM","False","kwilliams"
"10/3/2017 10:50:57 AM","True","Mperry"
"12/31/1600 4:00:00 PM","False","MWong"
"7/20/2015 2:16:37 PM","False","meetmebridge1531"
"7/20/2015 2:19:11 PM","False","meetmebridge1532"
"7/20/2015 2:20:29 PM","False","meetmebridge1533"
"7/20/2015 2:22:04 PM","False","meetmebridge1534"
"7/20/2015 2:23:53 PM","False","meetmebridge1535"
"7/20/2015 2:24:36 PM","False","meetmebridge1536"
"7/20/2015 2:25:48 PM","False","meetmebridge1537"
"7/20/2015 2:26:39 PM","False","meetmebridge1538"
"2/25/2016 10:43:05 PM","False","Jwheeler"
"8/1/2016 7:34:27 AM","False","CSutter"
"7/23/2015 3:41:18 PM","True","CSVendorReports"
"1/17/2017 7:10:26 AM","False","KMarolf"
"12/29/2016 1:41:22 PM","False","APeddireddy"
"12/31/1600 4:00:00 PM","True","Apeddireddy.Advisor"
"10/14/2015 11:59:53 AM","True","WinsysRM"
"8/18/2015 11:47:41 AM","True","WINSYS"
"8/19/2015 2:38:53 PM","True","MDT_Join"
"10/22/2016 9:48:23 PM","False","Balbert"
"8/24/2015 9:29:50 AM","True","visa.services"
"8/22/2016 7:50:55 AM","False","KHenke"
"5/31/2016 8:19:50 AM","False","cwang"
"7/17/2017 6:04:35 AM","False","vlaforte"
"10/21/2017 10:20:41 PM","True","svc_mgttools"
"1/2/2017 7:49:36 AM","False","frambay"
"9/11/2015 10:02:27 AM","True","LitSupport"
"4/11/2016 10:54:14 AM","False","awestcott"
"12/7/2016 6:04:03 PM","False","Kmolina"
"8/28/2017 5:59:56 AM","False","Vfortich"
"9/25/2015 11:52:08 AM","True","Wwinsys.Advisor"
"10/22/2015 9:07:28 AM","True","svc_visix"
"4/25/2017 9:07:17 AM","False","RPombo"
"5/1/2017 9:10:23 AM","False","LGajendran"
"5/29/2017 10:44:27 AM","False","LGajendran.Advisor"
"11/10/2015 1:55:56 PM","True","Mobileuser01"
"11/10/2015 2:03:41 PM","True","Mobileuser02"
"11/10/2015 2:03:49 PM","True","Mobileuser03"
"11/10/2015 2:03:55 PM","True","Mobileuser04"
"11/10/2015 2:04:03 PM","True","Mobileuser05"
"11/10/2015 2:04:09 PM","True","Mobileuser06"
"11/10/2015 2:04:21 PM","True","Mobileuser07"
"11/10/2015 2:04:27 PM","True","Mobileuser08"
"11/10/2015 2:04:54 PM","True","Mobileuser09"
"1/20/2016 2:48:48 PM","True","Mobileuser10"
"11/10/2015 10:25:23 AM","False","MZinkoski"
"11/13/2015 11:22:38 AM","True","visix1"
"12/31/1600 4:00:00 PM","False","_projmgmt"
"5/30/2017 9:11:45 AM","False","JSifcak"
"9/1/2016 11:06:45 AM","False","EValentine"
"9/5/2017 5:56:46 AM","False","ASampson"
"5/30/2017 5:55:43 AM","False","jmorales"
"6/5/2017 7:50:08 AM","False","akumar"
"12/19/2016 5:53:51 AM","False","AHudson"
"4/1/2016 5:37:47 PM","True","TSloan"
"8/24/2017 9:00:17 AM","True","svc_triton"
"2/4/2016 11:43:28 AM","False","HexTemplate"
"4/13/2016 5:40:43 AM","False","DCamacho"
"3/29/2017 8:44:41 AM","False","LGomez"
"12/31/1600 4:00:00 PM","False","BItemplate"
"1/22/2016 10:47:32 AM","True","testtest"
"1/22/2016 11:25:03 AM","True","svc_ciscoll"
"8/29/2016 10:13:58 AM","False","TBenedetta"
"8/4/2017 7:47:16 AM","False","CWeppner"
"11/11/2016 3:13:03 PM","False","TOgle"
"5/2/2016 5:56:27 AM","False","JCarino"
"12/26/2016 9:38:57 AM","False","ACollier"
"10/6/2016 8:54:53 AM","False","FMigotto"
"8/28/2017 4:34:49 AM","False","lbarda"
"8/7/2017 6:00:26 AM","False","nguivisdalsky"
"3/19/2016 11:47:25 PM","False","Scan-No-Reply"
"12/31/1600 4:00:00 PM","False","CSVSRep"
"12/31/1600 4:00:00 PM","False","ptemplate"
"12/31/1600 4:00:00 PM","False","DMarktemplate"
"3/19/2016 11:05:45 PM","True","HRTEST"
"2/19/2016 11:11:35 AM","True","ITTEST"
"2/19/2016 11:13:43 AM","True","RISKTEST"
"2/19/2016 11:15:41 AM","True","CustomerTest"
"5/27/2016 2:13:58 PM","False","kschreiber"
"12/31/1600 4:00:00 PM","False","NeTTemplate"
"5/2/2017 7:58:51 AM","False","CFontanelli"
"8/29/2016 9:05:24 AM","False","Tmcgrath"
"10/21/2017 10:20:45 PM","True","svc_ss_spadmin"
"10/21/2017 10:20:45 PM","True","svc_ss_spfarm"
"10/21/2017 10:20:45 PM","True","svc_ss_spsearch"
"1/28/2017 11:55:43 PM","True","svc_ss_sqladmin"
"10/21/2017 10:20:45 PM","True","svc_ss_spuserprofile"
"10/21/2017 10:20:45 PM","True","svc_ss_spwebapp"
"10/21/2017 10:20:42 PM","True","svc_c1blogtest"
"2/8/2017 8:16:45 AM","False","AKohl"
"3/3/2016 9:35:49 AM","True","MarketBuild"
"3/3/2016 12:12:49 PM","False","_riskdarttemp"
"3/3/2016 1:44:31 PM","False","_HRRecep"
"5/26/2016 4:08:39 PM","True","svc_fleetadmin_ldap"
"7/1/2016 5:36:01 AM","False","TGray"
"7/6/2016 8:29:59 AM","False","REvans"
"12/31/1600 4:00:00 PM","True","GThomas.Advisor"
"9/11/2017 8:09:45 AM","False","MContreras"
"6/19/2017 10:51:20 AM","False","MCicero"
"6/19/2017 8:04:16 AM","False","DKravetz"
"5/2/2017 6:23:38 AM","False","JSchulz"
"3/15/2016 11:18:17 AM","False","cfowler"
"3/14/2016 8:49:26 AM","False","FMinunni"
"3/25/2016 8:25:41 AM","True","SVC_MQTEST"
"3/22/2016 11:56:43 AM","True","NTrainer"
"12/30/2016 12:27:44 PM","False","JPaterna"
"9/19/2016 1:07:20 PM","False","lkellerman"
"6/24/2016 10:34:38 AM","False","ekuhlmann"
"7/17/2017 1:35:57 PM","False","jmatich"
"3/29/2016 1:18:42 PM","False","DTHDTemplate"
"3/30/2016 4:29:46 PM","False","nocdtemplate"
