"User","Source","Time","EventType","Controller"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:00:42 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:02:36 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:02:57 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:03:12 PM","Lockout","LASDC01"
"HPamarthi.Advisor","Unlocked By: WListon.Advisor","12/1/2017 12:03:14 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:03:39 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:03:52 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:04:24 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:04:37 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:04:43 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:04:57 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:05:29 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:05:42 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:06:14 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:06:27 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:06:31 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:06:42 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:06:46 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:06:58 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:07:05 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:07:18 PM","Lockout","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:07:55 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:08:07 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:08:16 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:08:28 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:08:29 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:08:43 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:09:24 PM","Unlock","LASDC02"
"HPamarthi","DPC-18564","12/1/2017 12:09:39 PM","Lockout","LASDC01"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:10:05 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:10:16 PM","Unlock","LASDC02"
"HPamarthi","Unlocked By: WListon.Advisor","12/1/2017 12:10:22 PM","Unlock","LASDC02"
