"MMs Column Name","MMS Column Value","Item URL","List Name","List URL"
"ImageTags","Wellness;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=390","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=391","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Birth;people;Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=392","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Computer;remote;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=393","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Computer;remote;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=394","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","CBO;people;Headset;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=395","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Payroll;Computer;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=396","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Doctor;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=397","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Dr. Lin;Growth;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=398","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Wellness;Health;National Weeks;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=399","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;Health;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=400","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Clinic;Growth;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=401","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","COVID;Health;Safety;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=402","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Condolence;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=404","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;Health;people;Wellness;EAP;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=405","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Doctor;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=406","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Doctor;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=407","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Dr. Lin;Growth;Kelsey Leadership;Kelsey Logos;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=408","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Health;Catering;Food;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=409","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;benefits;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=410","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Catering;Food;Health;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=411","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","holiday;people;Flag;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=412","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;United Way;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=413","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;United Way;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=414","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","United Way;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=415","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;people;United Way;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=417","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;United Way;Carousel;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=418","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Teamwork;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=419","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=421","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=422","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Kelsey Research Foundation;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=423","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=426","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=428","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Birth;benefits;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=429","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=431","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Kelsey Research Foundation;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=432","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Health;National Weeks;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=433","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","National Weeks;people;Admin;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=434","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Dr. Lin;Kelsey Leadership;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=435","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;Kelsey Leadership;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=436","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;Discounts;Growth;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=437","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=438","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=439","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","National Weeks;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=443","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Mavis P Kelsey;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=445","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","benefits;Money;people;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=446","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Kelsey Logos;News;Clinic;Connections;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=447","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Teamwork;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=448","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Computer;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=449","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","people;Kelsey Logos;Carousel;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=450","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Kelsey Logos;Connections;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=451","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Clinic;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=452","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Alert;News;Safety;Training;ActiveShooter;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=454","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Computer;Growth;IT;News;Phoenix;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=455","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Wellness;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=457","Images","https://prod-pulse.kscpulse.com/PublishingImages"
"ImageTags","Carousel;Dr. Lin;Kelsey Leadership;","https://prod-pulse.kscpulse.com/PublishingImages/Forms/DispForm.aspx?ID=458","Images","https://prod-pulse.kscpulse.com/PublishingImages"
