"Path","InstanceName","CookedValue","RawValue","SecondValue","MultipleCount","CounterType","Timestamp","Timestamp100NSec","Status","DefaultScale","TimeBase"
"\\lascoll02\\process(svchost#8)\working set","svchost","13115392","13115392","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#7)\working set","svchost","8212480","8212480","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(dwm)\working set","dwm","37072896","37072896","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#6)\working set","svchost","12574720","12574720","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#5)\working set","svchost","34525184","34525184","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(spoolsv)\working set","spoolsv","10346496","10346496","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#4)\working set","svchost","25772032","25772032","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(cvd)\working set","cvd","33812480","33812480","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(inetinfo)\working set","inetinfo","21082112","21082112","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(mqsvc)\working set","mqsvc","12046336","12046336","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(alachisoft.ncache.service)\working set","alachisoft.ncache.service","196317184","196317184","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(omtsreco)\working set","omtsreco","12767232","12767232","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(ccsvchst)\working set","ccsvchst","20639744","20639744","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(snmp)\working set","snmp","8589312","8589312","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(tiremoteservice)\working set","tiremoteservice","10903552","10903552","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#3)\working set","svchost","79421440","79421440","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(vgauthservice)\working set","vgauthservice","10915840","10915840","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(vmtoolsd)\working set","vmtoolsd","30289920","30289920","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(managementagenthost)\working set","managementagenthost","10297344","10297344","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(evmgrc)\working set","evmgrc","18567168","18567168","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#2)\working set","svchost","26271744","26271744","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiprvse#4)\working set","wmiprvse","5963776","5963776","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost#1)\working set","svchost","8839168","8839168","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(dllhost)\working set","dllhost","11153408","11153408","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(msdtc)\working set","msdtc","7901184","7901184","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiprvse#3)\working set","wmiprvse","9760768","9760768","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(svchost)\working set","svchost","11018240","11018240","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(datalayerservice)\working set","datalayerservice","645525504","645525504","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#7)\working set","w3wp","11972608","11972608","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#6)\working set","w3wp","340680704","340680704","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#5)\working set","w3wp","349151232","349151232","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#4)\working set","w3wp","338235392","338235392","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#3)\working set","w3wp","332853248","332853248","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#2)\working set","w3wp","400855040","400855040","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp#1)\working set","w3wp","186888192","186888192","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(w3wp)\working set","w3wp","184913920","184913920","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiprvse#2)\working set","wmiprvse","8744960","8744960","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiprvse#1)\working set","wmiprvse","34734080","34734080","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiapsrv)\working set","wmiapsrv","7151616","7151616","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(wmiprvse)\working set","wmiprvse","31363072","31363072","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
"\\lascoll02\\process(_total)\working set","_total","3674787840","3674787840","0","1","NumberOfItems64","9/27/2018 3:29:26 PM","131825357661570000","0","4294967291","2536125"
