User,MemberOf
GoodAdmin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
hilario.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
james.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
jerrad.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
john.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
lansweepersupport,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
larry.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
ldap.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
LDAPuser,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
service.replay,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
rich.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
roctrust.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
servicesadmin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
shelley.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
Task.Admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
tim.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
wil.admin,"CN=Domain Admins,CN=Users,DC=USON,DC=LOCAL"
