DCTEST01MT,Application Experience,Stopped,Manual
DCTEST01MT,Application Layer Gateway Service,Stopped,Manual
DCTEST01MT,Windows All-User Install Agent,Running,Manual
DCTEST01MT,Application Host Helper Service,Running,Automatic
DCTEST01MT,Application Identity,Stopped,Manual
DCTEST01MT,Application Information,Running,Manual
DCTEST01MT,Application Management,Stopped,Manual
DCTEST01MT,ASP.NET State Service,Stopped,Manual
DCTEST01MT,Windows Audio Endpoint Builder,Stopped,Manual
DCTEST01MT,Windows Audio,Stopped,Manual
DCTEST01MT,Base Filtering Engine,Running,Automatic
DCTEST01MT,Background Intelligent Transfer Service,Stopped,Manual
DCTEST01MT,Background Tasks Infrastructure Service,Running,Automatic
DCTEST01MT,Computer Browser,Stopped,Disabled
DCTEST01MT,FNBM Centralized Cache Service,Stopped,Manual
DCTEST01MT,Certificate Propagation,Running,Manual
DCTEST01MT,CreditOne Collections Agent Time Service,Stopped,Manual
DCTEST01MT,COM+ System Application,Running,Manual
DCTEST01MT,CreditOne.CustomerNotifications.EmailService,Stopped,Manual
DCTEST01MT,CreditOne.CustomerNotifications.SMSService,Stopped,Manual
DCTEST01MT,CreditOne.LogParser.Service,Stopped,Disabled
DCTEST01MT,CreditOneBatchLetterRequestService,Stopped,Manual
DCTEST01MT,CreditOne - Email Directory Watcher Service,Stopped,Manual
DCTEST01MT,FNBM CreditPull Service,Stopped,Manual
DCTEST01MT,Cryptographic Services,Running,Automatic
DCTEST01MT,DCOM Server Process Launcher,Running,Automatic
DCTEST01MT,Optimize drives,Stopped,Manual
DCTEST01MT,Device Association Service,Stopped,Manual
DCTEST01MT,Device Install Service,Stopped,Manual
DCTEST01MT,DHCP Client,Running,Automatic
DCTEST01MT,DNS Client,Running,Automatic
DCTEST01MT,Wired AutoConfig,Stopped,Manual
DCTEST01MT,Diagnostic Policy Service,Running,Automatic
DCTEST01MT,Device Setup Manager,Stopped,Manual
DCTEST01MT,Extensible Authentication Protocol,Stopped,Manual
DCTEST01MT,Encrypting File System (EFS),Stopped,Manual
DCTEST01MT,Windows Event Log,Running,Automatic
DCTEST01MT,COM+ Event System,Running,Automatic
DCTEST01MT,Function Discovery Provider Host,Stopped,Manual
DCTEST01MT,Function Discovery Resource Publication,Stopped,Manual
DCTEST01MT,FNBM Outgoing File Watcher Service,Stopped,Manual
DCTEST01MT,FNBM Application Import Service,Stopped,Manual
DCTEST01MT,FNBM Application Parsing Service,Stopped,Manual
DCTEST01MT,FNBM Application Processing Service,Stopped,Manual
DCTEST01MT,FNBMCheckRequestService,Stopped,Manual
DCTEST01MT,FNBM Data Layer Service,Stopped,Manual
DCTEST01MT,FNBM Debit Card Holder File Watcher Service,Stopped,Disabled
DCTEST01MT,FNBMFinCenService,Stopped,Manual
DCTEST01MT,FNBM Identity Check Service,Stopped,Disabled
DCTEST01MT,FNBM IP Fraud Check Service,Stopped,Manual
DCTEST01MT,FNBMLPSService,Stopped,Manual
DCTEST01MT,FNBMQueueProcessorService,Stopped,Manual
DCTEST01MT,Windows Font Cache Service,Running,Automatic
DCTEST01MT,Windows Presentation Foundation Font Cache 3.0.0.0,Stopped,Manual
DCTEST01MT,FromPPSExchangeFileWatcherService,Stopped,Manual
DCTEST01MT,Group Policy Client,Running,Automatic
DCTEST01MT,Human Interface Device Access,Stopped,Manual
DCTEST01MT,Health Key and Certificate Management,Stopped,Manual
DCTEST01MT,IIS Admin Service,Running,Automatic
DCTEST01MT,IKE and AuthIP IPsec Keying Modules,Running,Automatic
DCTEST01MT,IP Helper,Running,Automatic
DCTEST01MT,CNG Key Isolation,Running,Manual
DCTEST01MT,KDC Proxy Server service (KPS),Stopped,Manual
